PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_July_30_AlWajh5_8,2018_July_30,788718,14,21,5,30.67,31.50,CHL,30.67,31.12,CHL,31.00,30.75,HTR,31.00,31.00,CHL,
2018_July_30_AlWajh5_8,2018_July_30,794174,14,21,10,30.67,31.50,CHL,30.67,31.12,CHL,31.00,30.75,HTR,31.00,30.94,HTR,
2018_July_30_AlWajh5_8,2018_July_30,799631,14,21,16,30.67,31.44,CHL,30.67,31.12,CHL,31.00,30.75,HTR,31.00,31.00,CHL,
2018_July_30_AlWajh5_8,2018_July_30,805093,14,21,21,30.67,31.50,CHL,30.67,31.12,CHL,31.00,30.75,HTR,31.00,30.94,HTR,
2018_July_30_AlWajh5_8,2018_July_30,810550,14,21,27,30.67,31.44,CHL,30.67,31.12,CHL,31.00,30.75,HTR,31.00,31.00,CHL,
2018_July_30_AlWajh5_8,2018_July_30,816008,14,21,33,30.67,31.44,CHL,30.67,31.06,CHL,31.00,30.75,HTR,31.00,31.00,CHL,
2018_July_30_AlWajh5_8,2018_July_30,822822,14,21,39,30.67,31.44,CHL,30.67,31.06,CHL,31.00,30.75,HTR,31.00,31.00,CHL,
2018_July_30_AlWajh5_8,2018_July_30,828283,14,21,44,30.67,31.44,CHL,30.67,31.06,CHL,31.00,30.81,CHL,31.00,31.00,CHL,
2018_July_30_AlWajh5_8,2018_July_30,833741,14,21,50,30.67,31.44,CHL,30.67,31.06,CHL,31.00,30.81,HTR,31.00,31.00,CHL,
2018_July_30_AlWajh5_8,2018_July_30,839205,14,21,55,30.67,31.44,CHL,30.67,31.06,CHL,31.00,30.81,HTR,31.00,31.00,CHL,
2018_July_30_AlWajh5_8,2018_July_30,844662,14,22,1,30.67,31.44,CHL,30.67,31.06,CHL,31.00,30.81,HTR,31.00,31.00,CHL,
2018_July_30_AlWajh5_8,2018_July_30,850118,14,22,6,30.67,31.37,CHL,30.67,31.06,CHL,31.00,30.81,HTR,31.00,31.00,CHL,
2018_July_30_AlWajh5_8,2018_July_30,855578,14,22,12,30.67,31.37,CHL,30.67,31.06,CHL,31.00,30.81,HTR,31.00,31.06,CHL,
2018_July_30_AlWajh5_8,2018_July_30,861035,14,22,17,30.67,31.37,CHL,30.67,31.06,CHL,31.00,30.81,HTR,31.00,31.06,CHL,
2018_July_30_AlWajh5_8,2018_July_30,866493,14,22,23,30.67,31.37,CHL,30.67,31.00,CHL,31.00,30.87,CHL,31.00,31.06,CHL,
2018_July_30_AlWajh5_8,2018_July_30,871951,14,22,28,30.67,31.37,CHL,30.67,31.00,CHL,31.00,30.87,HTR,31.00,31.06,CHL,
2018_July_30_AlWajh5_8,2018_July_30,877413,14,22,36,30.67,31.37,CHL,30.67,31.00,CHL,31.00,30.87,HTR,31.00,31.06,CHL,
2018_July_30_AlWajh5_8,2018_July_30,885355,14,22,41,30.67,31.37,CHL,30.67,31.00,CHL,31.00,30.87,HTR,31.00,31.06,CHL,
2018_July_30_AlWajh5_8,2018_July_30,890812,14,22,47,30.67,31.37,CHL,30.67,31.00,CHL,31.00,30.87,HTR,31.00,31.06,CHL,
2018_July_30_AlWajh5_8,2018_July_30,896294,14,22,52,30.67,31.37,CHL,30.67,31.00,CHL,31.00,30.94,CHL,31.00,31.06,CHL,
2018_July_30_AlWajh5_8,2018_July_30,901757,14,22,58,30.67,31.37,CHL,30.67,31.00,CHL,31.00,30.94,HTR,31.00,31.06,CHL,
