Label,Site,Species,Geno,Temp,Replicate,Bleaching_score_GP,Bleaching_score_AC,Bleaching_score_CB,Median
WA2-39B,AlWajh,Acropora,2,39,B,0,0,0,0
WA3-39B,AlWajh,Acropora,3,39,B,0,0,0,0
WA4-39B,AlWajh,Acropora,4,39,B,0,0,0,0
WA5-39B,AlWajh,Acropora,5,39,B,0,0,0,0
WA6-39B,AlWajh,Acropora,6,39,B,0,0,0,0
WA7-39B,AlWajh,Acropora,7,39,B,0,0,0,0
EA1-30A,Eilat,Acropora,1,30,A,40,20,0,20
EA2-30A,Eilat,Acropora,2,30,A,20,0,0,0
EA3-30A,Eilat,Acropora,3,30,A,20,0,0,0
EA4-30A,Eilat,Acropora,4,30,A,20,0,0,0
EA5-30A,Eilat,Acropora,5,30,A,20,0,0,0
EA6-30A,Eilat,Acropora,6,30,A,20,0,0,0
EA7-30A,Eilat,Acropora,7,30,A,0,40,20,20
EA1-30B,Eilat,Acropora,1,30,B,80,0,0,0
EA2-30B,Eilat,Acropora,2,30,B,20,0,0,0
EA3-30B,Eilat,Acropora,3,30,B,0,0,0,0
EA4-30B,Eilat,Acropora,4,30,B,20,0,0,0
EA5-30B,Eilat,Acropora,5,30,B,20,0,0,0
EA6-30B,Eilat,Acropora,6,30,B,20,20,20,20
EA7-30B,Eilat,Acropora,7,30,B,20,20,20,20
EA1-33A,Eilat,Acropora,1,33,A,20,20,20,20
EA2-33A,Eilat,Acropora,2,33,A,20,0,0,0
EA3-33A,Eilat,Acropora,3,33,A,20,0,0,0
EA4-33A,Eilat,Acropora,4,33,A,20,0,0,0
EA5-33A,Eilat,Acropora,5,33,A,0,0,0,0
EA6-33A,Eilat,Acropora,6,33,A,20,0,0,0
EA7-33A,Eilat,Acropora,7,33,A,20,20,20,20
EA1-33B,Eilat,Acropora,1,33,B,0,0,0,0
EA2-33B,Eilat,Acropora,2,33,B,20,20,20,20
EA3-33B,Eilat,Acropora,3,33,B,0,0,0,0
EA4-33B,Eilat,Acropora,4,33,B,0,0,0,0
EA5-33B,Eilat,Acropora,5,33,B,0,0,0,0
EA6-33B,Eilat,Acropora,6,33,B,0,0,0,0
EA7-33B,Eilat,Acropora,7,33,B,40,40,40,40
EA1-36A,Eilat,Acropora,1,36,A,0,0,0,0
