Site,Temp,Species,Geno,Rep,Label,Chl_cm2
Eilat,36,Stylophora,7,B,ES7-36B,0.45
Eilat,39,Stylophora,1,A,ES1-39A,0.555
Eilat,39,Stylophora,2,A,ES2-39A,0.385
Eilat,39,Stylophora,3,A,ES3-39A,1.08
Eilat,39,Stylophora,4,A,ES4-39A,0.261
Eilat,39,Stylophora,5,A,ES5-39A,0.636
Eilat,39,Stylophora,6,A,ES6-39A,0.982
Eilat,39,Stylophora,7,A,ES7-39A,0.464
Yanbu,30,Stylophora,1,A,YS1-30A,5.959
Yanbu,30,Stylophora,2,A,YS2-30A,6.909
Yanbu,30,Stylophora,3,A,YS3-30A,4.003
Yanbu,30,Stylophora,4,A,YS4-30A,5.265
Yanbu,30,Stylophora,5,A,YS5-30A,7.283
Yanbu,30,Stylophora,6,A,YS6-30A,8.17
Yanbu,30,Stylophora,7,A,YS7-30A,6.553
Yanbu,33,Stylophora,1,A,YS1-33A,6.084
Yanbu,33,Stylophora,2,A,YS2-33A,6.087
Yanbu,33,Stylophora,3,A,YS3-33A,4.381
Yanbu,33,Stylophora,4,A,YS4-33A,4.868
Yanbu,33,Stylophora,5,A,YS5-33A,4.975
Yanbu,33,Stylophora,6,A,YS6-33A,8.07
Yanbu,33,Stylophora,7,A,YS7-33A,5.603
Yanbu,36,Stylophora,1,A,YS1-36A,2.066
Yanbu,36,Stylophora,2,A,YS2-36A,6.927
Yanbu,36,Stylophora,3,A,YS3-36A,1.936
Yanbu,36,Stylophora,4,A,YS4-36A,9.96
Yanbu,36,Stylophora,5,A,YS5-36A,3.377
Yanbu,36,Stylophora,6,A,YS6-36A,1.642
Yanbu,36,Stylophora,7,A,YS7-36A,4.482
Yanbu,39,Stylophora,1,A,YS1-39A,1.59
Yanbu,39,Stylophora,2,A,YS2-39A,4.218
Yanbu,39,Stylophora,3,A,YS3-39A,2.277
Yanbu,39,Stylophora,4,A,YS4-39A,1.719
Yanbu,39,Stylophora,5,A,YS5-39A,2.554
Yanbu,39,Stylophora,6,A,YS6-39A,2.105
Yanbu,39,Stylophora,7,A,YS7-39A,2.293
